#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T01:01:30
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29231	
#INFO	-out.max=50000	

#RESOURCE=yCat_5085
#Name: V/85A
#Title: Stellar Mass Catalogue (Belikov 1995)
#Table	V_85A_catalog:
#Name: V/85A/catalog
#Title: The catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a12)	Principal name of the system	[ucd=meta.id;meta.main]
#Column	OtherID	(a12)	Secondary identifier of the system	[ucd=meta.id]
#Column	M1	(F7.4)	Mass of primary component	[ucd=phys.mass]
#Column	e_M1	(F7.4)	? Mean error on M1	[ucd=stat.error]
#Column	M2	(F7.4)	Mass of secondary component	[ucd=phys.mass]
#Column	e_M2	(F7.4)	? Mean error on M2	[ucd=stat.error]
#Column	Method	(A2)	Method of mass determination (1)	[ucd=meta.code;obs]
#Column	n_Name	(A2)	Individual note explained in (5)	[ucd=meta.note]
#Column	AAAref	(a10)	Reference from AAA (2)	[ucd=meta.ref]
#Column	System	(a5)	Type of system (3)	[ucd=src.class]
#Column	Sp	(a20)	Spectral types of the two stars (4)	[ucd=src.spType]
#Column	_RA	(F8.4)	Position (derived from SIMBAD) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Position (derived from SIMBAD) (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|Name|OtherID|M1|e_M1|M2|e_M2|Method|n_Name|AAAref|System|Sp|_RA|_DE
166.1729|-04.2217|ADS 8048BC  |A 676BC     | 0.6000|       | 0.4000|       |V0|  |26.118.017|     |M0V                 |166.1729|-04.2217
173.0864|+61.0817|ADS 8197    |            | 0.7000| 0.2000| 0.5700| 0.2000|V0|  |07.118.008|     |F6V                 |173.0864|+61.0817
190.5375|+26.3533|ADS 8635    |A 1851      | 0.6600|       | 0.6400|       |V0| a|41.118.005|     |dK                  |190.5375|+26.3533
199.9432|+47.7776|ADS 8862    |Hu 644      | 0.4500| 0.0400| 0.3100| 0.0300|V0|  |02.118.002|     |dM2                 |199.9432|+47.7776
207.2666|+26.9799|ADS 9031    |BD +27 2296 | 0.4000|       | 0.4000|       |V0|  |01.118.012|     |dK6                 |207.2666|+26.9799
210.9303|+08.4870|ADS 9094    |BD +9 2842  | 0.4600| 0.2000| 0.4600| 0.2000|V0|  |07.118.010|     |dF5                 |210.9303|+08.4870
221.3750|+42.3667|ADS 9378    |OSIGMA 285  | 2.2000| 1.5000| 1.6000| 1.3000|V0|  |32.118.004|     |dF5+?               |221.3750|+42.3667
220.6400|+19.4797|ADS 9352AB  |            | 0.3200|       | 0.3200|       |V0|  |26.118.017|     |dM0                 |220.6400|+19.4797
234.0093|+39.8025|ADS 9716AB  |BD +40 2905 | 1.1000| 0.4000| 1.0000| 0.4000|V0|24|07.118.010|     |K4                  |234.0093|+39.8025
262.3310|+29.3880|ADS 10585   |A 351       | 0.3200| 0.0800| 0.2900| 0.0700|V0|  |32.118.004|     |dM0+?               |262.3310|+29.3880
262.5980|-01.0652|ADS 10598   |SIGMA 2173  | 1.1400|       | 1.0800|       |R0|  |05.118.029|     |G8IV/V+G8IV/V       |262.5980|-01.0652
279.6000|-03.1833|ADS 11520   |A 88        | 1.2000|       | 1.1000|       |V0| c|45.118.002|     |F8V                 |279.6000|-03.1833
296.3900|+33.5956|ADS 12889   |SIGMA 2576  | 0.7300|       | 0.1400|       |V0|  |18.118.015|     |K3V                 |296.3900|+33.5956
336.9978|+57.6959|ADS 15972   |Kr 60       | 0.2500|       | 0.1600|       |V0| a|42.118.009|     |dM4                 |336.9978|+57.6959
340.2250|+14.5500|ADS 16173   |HD 214850   | 0.9000| 0.2000| 0.7000| 0.2000|R0| b|40.118.009|     |G5IV/V+K0IV/V       |340.2250|+14.5500
340.2250|+14.5500|ADS 16173   |Ho 296      | 1.1000| 0.1000| 1.0000| 0.1000|V0|  |41.118.005|     |G3IV+G3IV           |340.2250|+14.5500
343.0000|+57.7167|ADS 16326   |A 632       | 1.4000| 0.7000| 2.0000| 1.1000|V0|  |02.118.002|     |dK0                 |343.0000|+57.7167
269.6018|+04.4615|BD +4 3562  |Kpr 84      | 0.3000|       | 0.6000|       |V0|  |14.118.015|     |K5V+dK7             |269.6018|+04.4615
269.6018|+04.4615|BD +4 3562  |            | 0.3000|       | 0.7000|       |V0|  |10.118.012|     |dK5                 |269.6018|+04.4615
309.9071|+04.9720|BD +4 4510  |Kpr 99      | 0.6900| 0.1300| 0.6500| 0.1300|V0|  |01.118.014|     |K5V;K6+K9           |309.9071|+04.9720
138.5950|+52.6866|BD +53 1320 |SIGMA 1321  | 0.4100| 0.0300| 0.7300| 0.0500|V0|  |08.118.010|     |M0eV+M0eV           |138.5950|+52.6866
129.1061|+67.2951|BD +67 552  |            | 0.6400|       | 0.3600|       |V0|  |09.117.012|     |M1;?+dM             |129.1061|+67.2951
152.7438|+75.1414|BD +75 403  |Kpr 47      | 0.6600| 0.2000| 0.6100| 0.2000|V0|  |07.118.010|     |dK6                 |152.7438|+75.1414
139.3770|+77.2447|BD +77 361  |Kpr 39      | 0.3300| 0.1000| 0.3000| 0.1000|V0|  |12.118.001|     |K5V                 |139.3770|+77.2447
246.0389|+48.3529|Gl 623      |CC 20,986   | 0.5100| 0.1600| 0.1100| 0.0290|V0|  |44.118.015|     |M3V                 |246.0389|+48.3529
064.4123|+16.9479|HD 27130    |            | 1.0860| 0.0180| 0.7760| 0.0150|S0|  |31.120.004|     |                    |064.4123|+16.9479
141.9449|-06.0712|HD 81809    |Gl 344      | 1.5000| 0.5000| 0.8000| 0.2000|S1|  |45.118.016|     |G0V+G9V             |141.9449|-06.0712
253.5419|-41.8250|HD 152248   |            |30.0000|       |30.0000|       |S3|10|46.117.028|     |O7f                 |253.5419|-41.8250
253.5821|-41.8199|HD 152270   |            |11.0000| 5.0000|25.0000| 8.0000|S3|  |32.120.028|WR   |WC7+O5              |253.5821|-41.8199
280.6945|+59.6304|HD 173739/40|SIGMA 2398  | 0.3600| 0.0500| 0.3000| 0.0500|V0|  |44.118.021|     |M4V                 |280.6945|+59.6304
297.2108|+33.4373|HD 187459   |HR 7551     |23.5000| 1.0000|11.7000| 0.5000|S0|  |38.119.036|     |B0.5Ib+B2V          |297.2108|+33.4373
353.1950|-16.7521|v 28        |            | 0.4600|       | 0.4400|       |V0|  |42.118.009|     |dM0                 |353.1950|-16.7521
064.4123|+16.9479|vB 22       |            | 1.0400| 0.0300| 0.7500| 0.0100|S0|  |39.120.008|     |G6V+K6V             |064.4123|+16.9479
024.7564|-17.9505|L 726-8     |LDS 838     | 0.1010|       | 0.0990|       |V0|  |45.118.025|     |                    |024.7564|-17.9505
024.7564|-17.9505|L 726-8     |Cet UV      | 0.1150| 0.0080| 0.1090| 0.0080|V0|15|10.118.021|     |                    |024.7564|-17.9505
024.7564|-17.9505|L 726-8     |            | 0.1100|       | 0.1100|       |V1|  |10.118.008|     |                    |024.7564|-17.9505
003.8671|-16.1338|LHS 1047    |L 722-22    | 0.1700| 0.1200| 0.0550| 0.0320|V5|  |45.118.014|     |M4.5+?              |003.8671|-16.1338
298.4769|+44.4144|LHS 3494    |G 208-44    | 0.1400| 0.0300| 0.1000| 0.0300|V5|  |46.118.039|     |M6eV                |298.4769|+44.4144
315.0223|+40.0703|Kpr 103     |Furuhjelm 54| 1.5000|       | 0.4000|       |V0|20|14.118.015|     |M3e                 |315.0223|+40.0703
338.2250|+53.8000|Kpr 112     |            | 0.3300| 0.0500| 0.3300| 0.0500|V0|  |07.118.008|     |M0V                 |338.2250|+53.8000
188.3229|+09.0206|Wolf 424    |            | 0.0670| 0.0150| 0.0640| 0.0150|V0|  |07.118.008|     |M5eV                |188.3229|+09.0206

